t,Z_real,Z_imag
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.005005005005005309e-02,9.910216309653744338e-01,-1.337016340914698176e-01
1.001001001001001062e-01,9.647674706396996980e-01,-2.631040242859772893e-01
1.501501501501501523e-01,9.231290458350301931e-01,-3.844902661130795707e-01
2.002002002002002123e-01,8.688181637842695704e-01,-4.951312939802231528e-01
2.502502502502502724e-01,8.048870777683482247e-01,-5.934280007225214426e-01
3.003003003003003046e-01,7.343072576010289954e-01,-6.788172445028602953e-01
3.503503503503503924e-01,6.596898189105608878e-01,-7.515379849520258393e-01
4.004004004004004247e-01,5.831569692676311645e-01,-8.123594950479688936e-01
4.504504504504504570e-01,5.063286575090748531e-01,-8.623405885061063980e-01
5.005005005005005447e-01,4.303766766109884401e-01,-9.026493872092755666e-01
5.505505505505505770e-01,3.561066662535072314e-01,-9.344453126051910363e-01
6.006006006006006093e-01,2.840427872078186144e-01,-9.588116056010241861e-01
6.506506506506506415e-01,2.145023630759633204e-01,-9.767234696856770260e-01
7.007007007007007848e-01,1.476560883217375997e-01,-9.890387654594349209e-01
7.507507507507508171e-01,8.357390772026233872e-02,-9.965015815082106654e-01
8.008008008008008494e-01,2.225862174049719755e-02,-9.997522461881310774e-01
8.508508508508508816e-01,-3.633021352510735352e-02,-9.993398398869226540e-01
9.009009009009009139e-01,-9.225968858319269494e-02,-9.957349797323242768e-01
9.509509509509510572e-01,-1.456122557438378484e-01,-9.893417361949262689e-01
1.001001001001001089e+00,-1.964782178474387686e-01,-9.805081896197983538e-01
1.051051051051051122e+00,-2.449508474717660700e-01,-9.695354982273024502e-01
1.101101101101101154e+00,-2.911233109371130778e-01,-9.566855375874629974e-01
1.151151151151151186e+00,-3.350868120991062349e-01,-9.421872575859101540e-01
1.201201201201201219e+00,-3.769295474024293435e-01,-9.262419318380051836e-01
1.251251251251251251e+00,-4.167361902538750940e-01,-9.090274735851969767e-01
1.301301301301301283e+00,-4.545877121952938138e-01,-8.907019770501515277e-01
1.351351351351351537e+00,-4.905614108333387624e-01,-8.714066227664351016e-01
1.401401401401401570e+00,-5.247310577613539806e-01,-8.512680641376432211e-01
1.451451451451451602e+00,-5.571671094701770022e-01,-8.304003926568482852e-01
1.501501501501501634e+00,-5.879369445671563943e-01,-8.089067617550470546e-01
1.551551551551551666e+00,-6.171051043936750524e-01,-7.868807343754651296e-01
1.601601601601601699e+00,-6.447335233767726992e-01,-7.644074069723372222e-01
1.651651651651651731e+00,-6.708817415828237651e-01,-7.415643524407017351e-01
1.701701701701701763e+00,-6.956070959420408428e-01,-7.184224161835990330e-01
1.751751751751751796e+00,-7.189648891612220316e-01,-6.950463928065462316e-01
1.801801801801801828e+00,-7.410085369083435625e-01,-6.714956055172334182e-01
1.851851851851851860e+00,-7.617896947599313018e-01,-6.478244059601110383e-01
1.901901901901902114e+00,-7.813583668732942966e-01,-6.240826087282823620e-01
1.951951951951952147e+00,-7.997629985333040148e-01,-6.003158720015808747e-01
2.002002002002002179e+00,-8.170505547315025652e-01,-5.765660335234324974e-01
2.052052052052052211e+00,-8.332665868346638138e-01,-5.528714093393776174e-01
2.102102102102102243e+00,-8.484552892377511535e-01,-5.292670612880457925e-01
2.152152152152152276e+00,-8.626595477041106852e-01,-5.057850380892452424e-01
2.202202202202202308e+00,-8.759209808940049413e-01,-4.824545939564512387e-01
2.252252252252252340e+00,-8.882799763841732199e-01,-4.593023879264428455e-01
2.302302302302302373e+00,-8.997757222937384780e-01,-4.363526665104514035e-01
2.352352352352352405e+00,-9.104462354597241402e-01,-4.136274317997013505e-01
2.402402402402402437e+00,-9.203283869507471460e-01,-3.911465967800766275e-01
2.452452452452452469e+00,-9.294579255705160969e-01,-3.689281293072582124e-01
2.502502502502502502e+00,-9.378694998832153296e-01,-3.469881859499074905e-01
2.552552552552552534e+00,-9.455966791896114332e-01,-3.253412367124386972e-01
2.602602602602602566e+00,-9.526719737944538968e-01,-3.040001814910302524e-01
2.652652652652652598e+00,-9.591268548310136755e-01,-2.829764589890254034e-01
2.702702702702703075e+00,-9.649917738458380079e-01,-2.622801487148103128e-01
2.752752752752753107e+00,-9.702961822946232218e-01,-2.419200666015105805e-01
2.802802802802803139e+00,-9.750685510570699099e-01,-2.219038547197103584e-01
2.852852852852853172e+00,-9.793363900434768343e-01,-2.022380654985877768e-01
2.902902902902903204e+00,-9.831262679374827007e-01,-1.829282408249666980e-01
2.952952952952953236e+00,-9.864638320967649143e-01,-1.639789863518056057e-01
3.003003003003003268e+00,-9.893738286157709449e-01,-1.453940413159049427e-01
3.053053053053053301e+00,-9.918801225408644395e-01,-1.271763441380504289e-01
3.103103103103103333e+00,-9.940057182179886652e-01,-1.093280940561043857e-01
3.153153153153153365e+00,-9.957727797454359875e-01,-9.185080902228077993e-02
3.203203203203203397e+00,-9.972026514991034762e-01,-7.474538007902245540e-02
3.253253253253253430e+00,-9.983158786942674112e-01,-5.801212241327528135e-02
