spacing,zero_freq,prime_freq
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.010050251256281437e-02,1.309304467853490824e-03,1.294585178859739689e-11
4.020100502512562873e-02,5.229141602556062855e-03,9.078169457719231157e-08
6.030150753768843963e-02,1.173534484791699355e-02,6.618729063110763022e-06
8.040201005025125747e-02,2.078784351466391248e-02,9.316087711537723241e-05
1.005025125628140753e-01,3.233097105476526179e-02,5.768186760560344972e-04
1.206030150753768793e-01,4.629389250572390341e-02,2.206892853253896152e-03
1.407035175879396971e-01,6.259114702245495432e-02,6.186301208116623714e-03
1.608040201005025149e-01,8.112330032905033794e-02,1.399060455150711799e-02
1.809045226130653328e-01,1.017777008967264696e-01,2.708528951806061374e-02
2.010050251256281506e-01,1.244293326990751763e-01,4.666063199138662659e-02
2.211055276381909684e-01,1.489417565219725847e-01,7.345517697645230493e-02
2.412060301507537585e-01,1.751681310226361754e-01,1.076850767282298282e-01
2.613065326633166041e-01,2.029523040486386765e-01,1.490626599732446100e-01
2.814070351758793942e-01,2.321299641501642363e-01,1.968744788145412872e-01
3.015075376884422398e-01,2.625298417530118611e-01,2.500893176960330422e-01
3.216080402010050299e-01,2.939749491099302725e-01,3.074730265642947047e-01
3.417085427135678199e-01,3.262838479164627548e-01,3.676948575525039176e-01
3.618090452261306655e-01,3.592719333656927971e-01,4.294168845821572100e-01
3.819095477386934556e-01,3.927527234237478959e-01,4.913632425917860425e-01
4.020100502512563012e-01,4.265391422327743376e-01,5.523693204498395515e-01
4.221105527638190913e-01,4.604447867870405386e-01,6.114129981180069784e-01
4.422110552763819369e-01,4.942851663762172221e-01,6.676309319221039873e-01
4.623115577889447270e-01,5.278789047417660196e-01,7.203231199645686589e-01
4.824120603015075170e-01,5.610488954406495088e-01,7.689488015008082433e-01
5.025125628140703071e-01,5.936234015470567282e-01,8.131163569644495048e-01
5.226130653266332082e-01,6.254370915384495078e-01,8.525694087487164508e-01
5.427135678391959983e-01,6.563320039970610420e-01,8.871708552379312662e-01
5.628140703517587884e-01,6.861584346015126012e-01,9.168861447008479493e-01
5.829145728643215785e-01,7.147757397744417540e-01,9.417667309141471987e-01
6.030150753768844796e-01,7.420530522796319195e-01,9.619343538266422744e-01
6.231155778894472697e-01,7.678699050146053917e-01,9.775665530967134753e-01
6.432160804020100597e-01,7.921167602104932648e-01,9.888836427487512903e-01
6.633165829145728498e-01,8.146954422188671385e-01,9.961372427598339518e-01
6.834170854271356399e-01,8.355194730240789180e-01,9.996003692947639241e-01
7.035175879396985410e-01,8.545143105588537402e-01,9.995590214621831171e-01
7.236180904522613311e-01,8.716174908103929697e-01,9.963051618449586533e-01
7.437185929648241212e-01,8.867786755746707161e-01,9.901309648106730865e-01
7.638190954773869112e-01,8.999596085393563039e-01,9.813241959993670438e-01
7.839195979899498123e-01,9.111339831431692904e-01,9.701645846830254660e-01
8.040201005025126024e-01,9.202872263646477702e-01,9.569210550160988094e-01
8.241206030150753925e-01,9.274162032305632852e-01,9.418496903751916172e-01
8.442211055276381826e-01,9.325288473987729532e-01,9.251923154130884397e-01
8.643216080402009727e-01,9.356437236585208872e-01,9.071755919688192504e-01
8.844221105527638738e-01,9.367895286004832567e-01,8.880105367686792484e-01
9.045226130653266639e-01,9.360045360376932910e-01,8.678923803729763353e-01
9.246231155778894539e-01,9.333359940063870042e-01,8.470006977160543515e-01
9.447236180904522440e-01,9.288394803433359659e-01,8.254997506429690990e-01
9.648241206030150341e-01,9.225782239248759842e-01,8.035389919585219642e-01
9.849246231155779352e-01,9.146223986649777427e-01,7.812536886389553903e-01
1.005025125628140614e+00,9.050483973086153044e-01,7.587656290282340787e-01
1.025125628140703515e+00,8.939380919262878145e-01,7.361838850959522285e-01
1.045226130653266416e+00,8.813780878205464964e-01,7.136056062380868870e-01
1.065326633165829096e+00,8.674589773009362403e-01,6.911168257306938845e-01
1.085427135678391997e+00,8.522745994756127930e-01,6.687932648796192092e-01
1.105527638190954898e+00,8.359213118520822938e-01,6.467011232252427577e-01
1.125628140703517577e+00,8.184972791423943406e-01,6.248978459356876458e-01
1.145728643216080478e+00,8.001017842362331267e-01,6.034328618253719245e-01
1.165829145728643157e+00,7.808345658453148541e-01,5.823482873327456844e-01
1.185929648241206058e+00,7.607951868409099649e-01,5.616795933397644713e-01
1.206030150753768959e+00,7.400824368097119743e-01,5.414562329679538655e-01
1.226130653266331638e+00,7.187937718480110760e-01,5.217022294874816835e-01
1.246231155778894539e+00,6.970247941062949204e-01,5.024367242664943278e-01
1.266331658291457218e+00,6.748687730917998229e-01,4.836744853027069579e-01
1.286432160804020119e+00,6.524162102405864916e-01,4.654263773477687605e-01
1.306532663316583021e+00,6.297544477884234881e-01,4.476997949828722123e-01
1.326633165829145700e+00,6.069673225056618771e-01,4.304990602532093313e-01
1.346733668341708601e+00,5.841348644194276352e-01,4.138257866377292316e-01
1.366834170854271280e+00,5.613330402304123057e-01,3.976792112347832808e-01
1.386934673366834181e+00,5.386335407442316425e-01,3.820564970967371687e-01
1.407035175879397082e+00,5.161036112813239818e-01,3.669530076584265887e-01
1.427135678391959761e+00,4.938059237065055007e-01,3.523625551844775661e-01
1.447236180904522662e+00,4.717984884310823523e-01,3.382776251165210413e-01
1.467336683417085341e+00,4.501346044876849417e-01,3.246895781393580038e-01
1.487437185929648242e+00,4.288628455611787071e-01,3.115888317101818683e-01
1.507537688442211143e+00,4.080270796780848808e-01,2.989650227111558256e-01
1.527638190954773822e+00,3.876665201113976833e-01,2.868071527962005596e-01
1.547738693467336724e+00,3.678158049467144530e-01,2.751037179104279806e-01
1.567839195979899625e+00,3.485051026779219518e-01,2.638428233672927004e-01
1.587939698492462304e+00,3.297602411548152257e-01,2.530122857758234090e-01
1.608040201005025205e+00,3.116028571891638621e-01,2.425997230194830712e-01
1.628140703517587884e+00,2.940505641378434731e-01,2.325926334001898188e-01
1.648241206030150785e+00,2.771171348195144990e-01,2.229784649764581517e-01
1.668341708542713686e+00,2.608126971826280061e-01,2.137446760439956073e-01
1.688442211055276365e+00,2.451439402247675703e-01,2.048787876306474576e-01
1.708542713567839266e+00,2.301143277640471940e-01,1.963684288055428107e-01
1.728643216080401945e+00,2.157243177798898182e-01,1.882013755346824968e-01
1.748743718592964846e+00,2.019715851705050080e-01,1.803655837520163341e-01
1.768844221105527748e+00,1.888512459152943135e-01,1.728492172562210438e-01
1.788944723618090427e+00,1.763560807797976970e-01,1.656406709887520146e-01
1.809045226130653328e+00,1.644767568563645088e-01,1.587285901981731195e-01
1.829145728643216007e+00,1.532020453932751991e-01,1.521018859490805286e-01
1.849246231155778908e+00,1.425190345264869540e-01,1.457497473909098173e-01
1.869346733668341809e+00,1.324133356896380898e-01,1.396616511623842982e-01
1.889447236180904488e+00,1.228692826376481945e-01,1.338273682710751367e-01
1.909547738693467389e+00,1.138701221756310417e-01,1.282369687543239434e-01
1.929648241206030068e+00,1.053981958365012295e-01,1.228808243973980446e-01
1.949748743718592969e+00,9.743511189635566117e-02,1.177496097570207984e-01
1.969849246231155870e+00,8.996190725544006561e-02,1.128343017131401421e-01
1.989949748743718549e+00,8.295919884337171757e-02,1.081261777487952241e-01
2.010050251256281229e+00,7.640732432960255227e-02,1.036168131370197448e-01
2.030150753768844130e+00,7.028647203334273397e-02,9.929807719474037508e-02
2.050251256281407031e+00,6.457680003093310694e-02,9.516212874640528341e-02
2.070351758793969932e+00,5.925854455274552623e-02,9.120141092448762199e-02
2.090452261306532833e+00,5.431211784599474651e-02,8.740864541990202297e-02
2.110552763819095290e+00,4.971819575440462186e-02,8.377682628262750342e-02
2.130653266331658191e+00,4.545779533061228977e-02,8.029921336132445076e-02
2.150753768844221092e+00,4.151234285277775882e-02,7.696932546036834577e-02
2.170854271356783993e+00,3.786373266339249782e-02,7.378093328337688439e-02
2.190954773869346894e+00,3.449437728617304327e-02,7.072805222391613522e-02
2.211055276381909795e+00,3.138724930662835366e-02,6.780493505651953579e-02
2.231155778894472252e+00,2.852591552391788368e-02,6.500606457438824759e-02
2.251256281407035154e+00,2.589456389651732804e-02,6.232614621406988575e-02
2.271356783919598055e+00,2.347802381255723742e-02,5.976010070198597979e-02
2.291457286432160956e+00,2.126178021807701227e-02,5.730305675282199029e-02
2.311557788944723857e+00,1.923198213345759383e-02,5.495034384546541167e-02
2.331658291457286314e+00,1.737544608053944242e-02,5.269748509831376215e-02
2.351758793969849215e+00,1.567965493100239097e-02,5.054019026234295858e-02
2.371859296482412116e+00,1.413275267104686754e-02,4.847434884727364751e-02
2.391959798994975017e+00,1.272353555882776641e-02,4.649602339346999708e-02
2.412060301507537918e+00,1.144144012998371193e-02,4.460144289981163995e-02
2.432160804020100375e+00,1.027652848347375414e-02,4.278699641566717504e-02
2.452261306532663276e+00,9.219471255248865363e-03,4.104922680323717238e-02
2.472361809045226178e+00,8.261528661481890717e-03,3.938482467489958644e-02
2.492462311557789079e+00,7.394529966552300382e-03,3.779062250875871165e-02
2.512562814070351980e+00,6.610851704095316826e-03,3.626358894434931340e-02
2.532663316582914437e+00,5.903394952498568909e-03,3.480082325935939663e-02
2.552763819095477338e+00,5.265561939553709339e-03,3.339955002729442374e-02
2.572864321608040239e+00,4.691232224794479946e-03,3.205711395519283274e-02
2.592964824120603140e+00,4.174738682590890815e-03,3.077097489980595499e-02
2.613065326633166041e+00,3.710843484507164985e-03,2.953870306006381452e-02
2.633165829145728498e+00,3.294714255913893611e-03,2.835797434314584267e-02
2.653266331658291399e+00,2.921900559497140736e-03,2.722656590105478058e-02
2.673366834170854300e+00,2.588310837218030930e-03,2.614235183424614556e-02
2.693467336683417201e+00,2.290189922513610407e-03,2.510329905857914407e-02
2.713567839195980103e+00,2.024097216136883440e-03,2.410746333162906707e-02
2.733668341708542560e+00,1.786885602032466840e-03,2.315298543422177058e-02
2.753768844221105461e+00,1.575681164038586534e-03,2.223808750291707270e-02
2.773869346733668362e+00,1.387863749983290996e-03,2.136106950907126073e-02
2.793969849246231263e+00,1.221048416875679127e-03,2.052030588004569514e-02
2.814070351758794164e+00,1.073067779343466312e-03,1.971424225809528460e-02
2.834170854271356621e+00,9.419552731867093277e-04,1.894139239246121764e-02
2.854271356783919522e+00,8.259293368476634638e-04,1.820033516020580847e-02
2.874371859296482423e+00,7.233785056749349749e-04,1.748971171135910510e-02
2.894472361809045324e+00,6.328474070183243930e-04,1.680822273399421377e-02
2.914572864321608225e+00,5.530236383577371477e-04,1.615462583491018844e-02
2.934673366834170682e+00,4.827255057718937508e-04,1.552773303167337068e-02
2.954773869346733584e+00,4.208905960161926619e-04,1.492640835185027846e-02
2.974874371859296485e+00,3.665651522301106358e-04,1.434956553535559308e-02
2.994974874371859386e+00,3.188942207599022340e-04,1.379616583593368251e-02
3.015075376884422287e+00,2.771125346914881738e-04,1.326521591789473278e-02
3.035175879396985188e+00,2.405360983723174963e-04,1.275576584432990858e-02
3.055276381909547645e+00,2.085544363943722538e-04,1.226690715313899331e-02
3.075376884422110546e+00,1.806234701509789751e-04,1.179777101731263080e-02
3.095477386934673447e+00,1.562589851091542644e-04,1.134752648602249843e-02
3.115577889447236348e+00,1.350306523020624759e-04,1.091537880318383009e-02
3.135678391959799249e+00,1.165565681920904508e-04,1.050056780026553498e-02
3.155778894472361706e+00,1.004982779372691731e-04,1.010236636023427795e-02
3.175879396984924607e+00,8.655624816959972762e-05,9.720078949627328213e-03
3.195979899497487509e+00,7.446575662457509946e-05,9.353040215858237499e-03
3.216080402010050410e+00,6.399316731187051660e-05,9.000613646964432737e-03
3.236180904522613311e+00,5.493256135678585924e-05,8.662190291111213428e-03
3.256281407035175768e+00,4.710269514285859668e-05,8.337187533268281339e-03
3.276381909547738669e+00,4.034425892402822631e-05,8.025047926574838120e-03
3.296482412060301570e+00,3.451741062871590047e-05,7.725238076006855047e-03
3.316582914572864471e+00,2.949956113013847871e-05,7.437247572054525406e-03
3.336683417085427372e+00,2.518338879174463751e-05,7.160587972210489573e-03
3.356783919597989829e+00,2.147506260098541725e-05,6.894791828158353467e-03
3.376884422110552730e+00,1.829265466815098245e-05,6.639411756637862184e-03
3.396984924623115631e+00,1.556472428121218315e-05,6.394019552047057291e-03
3.417085427135678533e+00,1.322905706583792533e-05,6.158205338922600851e-03
3.437185929648241434e+00,1.123154409700830784e-05,5.931576762517706131e-03
3.457286432160803891e+00,9.525187041340047077e-06,5.713758215773216340e-03
3.477386934673366792e+00,8.069216575091848288e-06,5.504390101049401116e-03
3.497487437185929693e+00,6.828312420622597242e-06,5.303128125056988038e-03
3.517587939698492594e+00,5.771914373570957065e-06,5.109642625493029944e-03
3.537688442211055495e+00,4.873614654747349264e-06,4.923617927952486477e-03
3.557788944723617952e+00,4.110622815865833206e-06,4.744751731748623677e-03
3.577889447236180853e+00,3.463295258530913369e-06,4.572754523335614482e-03
3.597989949748743754e+00,2.914722193497004368e-06,4.407349016084218668e-03
3.618090452261306655e+00,2.450365574639503234e-06,4.248269615216779260e-03
3.638190954773869557e+00,2.057742192071668687e-06,4.095261906760825493e-03
3.658291457286432014e+00,1.726146704345187409e-06,3.948082169431415406e-03
3.678391959798994915e+00,1.446409933729772209e-06,3.806496908401304190e-03
