x,pi_x,psi_x
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.098098098098097886e+00,1.000000000000000000e+00,9.353818274906205987e-01
2.196196196196196215e+00,1.000000000000000000e+00,8.810518794711265089e-01
2.294294294294294101e+00,1.000000000000000000e+00,8.346893829454841152e-01
2.392392392392392431e+00,1.000000000000000000e+00,7.946257647303365257e-01
2.490490490490490316e+00,1.000000000000000000e+00,7.596302683673810119e-01
2.588588588588588646e+00,1.000000000000000000e+00,7.287749619577293947e-01
2.686686686686686532e+00,1.000000000000000000e+00,7.013468230358043121e-01
2.784784784784784861e+00,1.000000000000000000e+00,6.767887935198101390e-01
2.882882882882882747e+00,1.000000000000000000e+00,6.546592435188546277e-01
2.980980980980981077e+00,1.000000000000000000e+00,6.346034658340727885e-01
3.079079079079078962e+00,2.000000000000000000e+00,1.593198287276058833e+00
3.177177177177177292e+00,2.000000000000000000e+00,1.549974160269679269e+00
3.275275275275275177e+00,2.000000000000000000e+00,1.510246603972468460e+00
3.373373373373373063e+00,2.000000000000000000e+00,1.473591538739505324e+00
3.471471471471471393e+00,2.000000000000000000e+00,1.439651563903759257e+00
3.569569569569569722e+00,2.000000000000000000e+00,1.408123291288091439e+00
3.667667667667667608e+00,2.000000000000000000e+00,1.378747466135439970e+00
3.765765765765765494e+00,2.000000000000000000e+00,1.351301184425695245e+00
3.863863863863863823e+00,2.000000000000000000e+00,1.325591704742930865e+00
3.961961961961962153e+00,2.000000000000000000e+00,1.301451485688644327e+00
4.060060060060060039e+00,2.000000000000000000e+00,1.773416079428797643e+00
4.158158158158157924e+00,2.000000000000000000e+00,1.743705760888592637e+00
4.256256256256255810e+00,2.000000000000000000e+00,1.715633715379179636e+00
4.354354354354354584e+00,2.000000000000000000e+00,1.689061041186500134e+00
4.452452452452452469e+00,2.000000000000000000e+00,1.663864364496249859e+00
4.550550550550550355e+00,2.000000000000000000e+00,1.639933713524196701e+00
4.648648648648649129e+00,2.000000000000000000e+00,1.617170733780844527e+00
4.746746746746746126e+00,2.000000000000000000e+00,1.595487182152002248e+00
4.844844844844844900e+00,2.000000000000000000e+00,1.574803650170358171e+00
4.942942942942942786e+00,2.000000000000000000e+00,1.555048476708319916e+00
5.041041041041040671e+00,3.000000000000000000e+00,2.531103256996884543e+00
5.139139139139139445e+00,3.000000000000000000e+00,2.501301621376704976e+00
5.237237237237236442e+00,3.000000000000000000e+00,2.472737719258624622e+00
5.335335335335335216e+00,3.000000000000000000e+00,2.445331209714856957e+00
5.433433433433433102e+00,3.000000000000000000e+00,2.419008701012411944e+00
5.531531531531530987e+00,3.000000000000000000e+00,2.393703008303848190e+00
5.629629629629629761e+00,3.000000000000000000e+00,2.369352504926493186e+00
5.727727727727727647e+00,3.000000000000000000e+00,2.345900553785280174e+00
5.825825825825825532e+00,3.000000000000000000e+00,2.323295007485997488e+00
5.923923923923924306e+00,3.000000000000000000e+00,2.301487767685431063e+00
6.022022022022022192e+00,3.000000000000000000e+00,2.280434395608921694e+00
6.120120120120120077e+00,3.000000000000000000e+00,2.260093766914756053e+00
6.218218218218217963e+00,3.000000000000000000e+00,2.240427765106288938e+00
6.316316316316315849e+00,3.000000000000000000e+00,2.221401008545107469e+00
6.414414414414414622e+00,3.000000000000000000e+00,2.202980606832305455e+00
6.512512512512512508e+00,3.000000000000000000e+00,2.185135942924812724e+00
6.610610610610610394e+00,3.000000000000000000e+00,2.167838477859445945e+00
6.708708708708708279e+00,3.000000000000000000e+00,2.151061575385173619e+00
6.806806806806806165e+00,3.000000000000000000e+00,2.134780344167056754e+00
6.904904904904904939e+00,3.000000000000000000e+00,2.118971495534241800e+00
7.003003003003002824e+00,4.000000000000000000e+00,3.103392848246655955e+00
7.101101101101100710e+00,4.000000000000000000e+00,3.081369801241619744e+00
7.199199199199198596e+00,4.000000000000000000e+00,3.059952953139614351e+00
7.297297297297297369e+00,4.000000000000000000e+00,3.039115679969342843e+00
7.395395395395395255e+00,4.000000000000000000e+00,3.018832936421214974e+00
7.493493493493493141e+00,4.000000000000000000e+00,2.999081139071991142e+00
7.591591591591591026e+00,4.000000000000000000e+00,2.979838059894786451e+00
7.689689689689689800e+00,4.000000000000000000e+00,2.961082729008551517e+00
7.787787787787787686e+00,4.000000000000000000e+00,2.942795345741227919e+00
7.885885885885885571e+00,4.000000000000000000e+00,2.924957197185607871e+00
7.983983983983983457e+00,4.000000000000000000e+00,2.907550583518515808e+00
8.082082082082081342e+00,4.000000000000000000e+00,3.222263742548535870e+00
8.180180180180180116e+00,4.000000000000000000e+00,3.203766698915692768e+00
8.278278278278278890e+00,4.000000000000000000e+00,3.185697559886155439e+00
8.376376376376375887e+00,4.000000000000000000e+00,3.168040406398845654e+00
8.474474474474472885e+00,4.000000000000000000e+00,3.150780122801716043e+00
8.572572572572571659e+00,4.000000000000000000e+00,3.133902346083313084e+00
8.670670670670670432e+00,4.000000000000000000e+00,3.117393418936052818e+00
8.768768768768769206e+00,4.000000000000000000e+00,3.101240346316421981e+00
8.866866866866866204e+00,4.000000000000000000e+00,3.085430755200430752e+00
8.964964964964964977e+00,4.000000000000000000e+00,3.069952857262110424e+00
9.063063063063061975e+00,4.000000000000000000e+00,3.553211495037783330e+00
